,k,b,c
0,888069.6888397501,0.023055545898128915,4.669123116294165
1,787316.9719082953,0.01567482708688304,1.3550241348540912
2,770614.0670125461,0.021992638408588956,5.049951009226573
3,553331.1478223467,0.02171884974266476,3.6273682188999183
4,1327640.7843291485,0.013534108114810798,3.5591965515578887
5,1016573.3561680123,0.024007552623111765,3.4245907708900507
6,690225.529630457,0.01632281836758987,3.6116468595956546
7,1079168.8041281626,0.02197149493071986,1.9767478692348295
8,536961.4762348325,0.010589519139699428,1.5123105030739952
9,729179.6878129961,0.0038981167035014447,3.6494350774223907
10,778355.4486965318,0.021707237875286993,0.9932251849675945
11,839042.2381820299,0.01955656799035794,2.179479656385136
12,1203114.1489753476,0.01869593832254974,6.1453876135291985
13,1337248.0220872038,0.0020571099969791565,6.036520119040943
14,1489868.897860734,0.0206526380683261,5.759739807974178
15,794431.5969442844,0.01960825449466398,1.7928329728971018
16,523035.536079141,0.0037165502526700506,1.7929930967405274
17,1336273.5329789333,0.012171613738924012,5.297793227297348
18,1300845.9069735203,0.018036934001522825,5.9554859535807045
19,1367079.9719976736,0.019741798745274403,6.1528765340201454
20,1463015.78642879,0.010227896155168493,0.8995482050768825
21,1020901.4542642857,0.017900947938053885,1.110473174143209
22,1032364.5311205896,0.024094844446830004,2.056498249472265
23,542302.8314049965,0.0006520900685522718,3.60383692201514
24,1381493.5101999952,0.004267667939170702,3.8614178904058454
25,1125841.6482391933,0.01597045405972872,4.9475433956794515
26,1019086.412046063,0.007296609065982168,1.5252429584399754
27,1173806.5717759747,0.014251049145535502,3.838317668033386
28,1006817.8415933743,0.022586485053043445,5.851820591420836
29,1442352.4342969768,0.02139849063439423,1.074650820726644
30,974335.7708127082,0.02279200648641154,1.1755364813451459
31,992111.1778128279,0.003967538434229562,1.9816352852462076
32,1022516.7920827124,0.01895501933591479,0.7128972442392595
33,1438455.0445222375,0.006690746531193637,4.336707468706674
34,1191019.888418194,0.01928375574130314,5.703196976510383
35,1356810.9819503506,0.009671540132599155,4.251375332484501
36,1032313.8267972273,0.020720891143421183,3.149636852532526
37,1279663.2995749488,0.015512842572962648,4.543637221766118
38,1121221.6607890995,0.022046537616178946,2.778695335244874
39,893964.0237045013,0.01928815440888,1.9986818369649395
40,889121.1180164145,0.021006256276925303,0.8719495346431286
41,1410480.477832784,0.00425019588466454,0.2891827715981305
42,693166.4021677637,0.011659329011976294,3.98888101940297
43,1456226.8517381756,0.008567804786872675,0.17300164353253078
44,1028348.9974494901,0.020915467556494854,2.90607374766288
45,1309399.661424295,0.004973260319974602,3.5147098498421383
46,1490538.6739105934,0.002837001818731477,0.41017207346482415
47,832089.0059956012,0.021414420384256908,0.30008357909774397
48,1066270.1760530965,0.007207842497133313,2.2490655066433756
49,698118.3486304849,0.02478315919721521,2.661810658025305
50,889756.7330048265,0.0007582750689176716,2.6670504723027753
51,1317879.0537390385,0.017460691587030997,0.8546709632998869
52,933424.1666291103,0.011430589675874642,1.3413368293248333
53,928801.971366783,0.016142758402789042,0.7180920930195558
54,1197974.7172587272,0.012092996327072525,4.723450677995102
55,598802.6710786087,0.0012673013482824875,1.4298067311935585
56,1293325.660472659,0.015270317510236223,3.625833020543141
57,635909.0470788106,0.0239789901167663,1.587519235700196
58,777236.3804384829,0.008306760339580414,5.5287494796027
59,790958.9064778186,0.006034070142218637,6.234340163773204
60,917875.2508518917,0.0001831662719159133,0.8055039142772804
61,1109450.9958303005,0.02264086048078608,3.986802852294388
62,1298374.4812252428,0.024024120876422823,5.809578970445032
63,546862.6932858446,0.01694169101025152,5.077644932648923
64,818854.397677606,0.005469669360468277,4.011119437050856
65,1460913.1808083106,0.007940156951173297,5.939895706803944
66,1223098.2465547011,0.022094343274511517,5.071461427186209
67,1278356.259136581,0.006050602658393631,3.9898913856244764
68,571775.8569905366,0.006311496822422336,0.7953195353155232
69,1046555.2184608836,0.017676160605484773,5.911447260540325
70,1112480.4719216994,0.009792914434890247,1.1585169103452213
71,890108.253237949,0.012559783820130758,5.34780046810863
