,trial,best_distance,learning_curve
208,208,-550.1794860382646,-550.1794860382646
209,209,-550.2175448572727,-550.2175448572727
210,210,-550.8592802084795,-550.8592802084795
211,211,-553.3708228676836,-553.3708228676836
212,212,-553.3708228676836,-553.3708228676836
213,213,-553.8029411550857,-553.8029411550857
214,214,-553.8029411550857,-553.8029411550857
215,215,-553.8029411550857,-553.8029411550857
216,216,-553.8029411550857,-553.8029411550857
217,217,-553.8029411550857,-553.8029411550857
218,218,-553.8029411550857,-553.8029411550857
219,219,-553.8029411550857,-553.8029411550857
220,220,-554.6892581082697,-554.6892581082697
221,221,-554.7210567856388,-554.7210567856388
222,222,-555.8371122155905,-555.8371122155905
223,223,-555.8371122155905,-555.8371122155905
224,224,-555.8371122155905,-555.8371122155905
225,225,-555.8371122155905,-555.8371122155905
226,226,-555.8371122155905,-555.8371122155905
227,227,-555.8371122155905,-555.8371122155905
228,228,-556.7575494739513,-556.7575494739513
229,229,-556.7575494739513,-556.7575494739513
230,230,-556.7965847252443,-556.7965847252443
231,231,-556.7965847252443,-556.7965847252443
232,232,-556.7965847252443,-556.7965847252443
233,233,-556.8026953143393,-556.8026953143393
234,234,-556.8026953143393,-556.8026953143393
235,235,-557.0188660426156,-557.0188660426156
236,236,-557.0188660426156,-557.0188660426156
237,237,-557.9245182843653,-557.9245182843653
238,238,-557.9245182843653,-557.9245182843653
239,239,-557.9245182843653,-557.9245182843653
240,240,-557.9245182843653,-557.9245182843653
241,241,-557.9245182843653,-557.9245182843653
242,242,-557.9245182843653,-557.9245182843653
243,243,-557.9245182843653,-557.9245182843653
244,244,-558.2595120812485,-558.2595120812485
245,245,-558.2595120812485,-558.2595120812485
246,246,-558.2595120812485,-558.2595120812485
247,247,-558.2595120812485,-558.2595120812485
248,248,-558.2595120812485,-558.2595120812485
249,249,-558.2595120812485,-558.2595120812485
250,250,-558.2595120812485,-558.2595120812485
251,251,-558.3915168152403,-558.3915168152403
252,252,-558.5243373592751,-558.5243373592751
253,253,-558.5243373592751,-558.5243373592751
254,254,-558.5243373592751,-558.5243373592751
255,255,-558.5243373592751,-558.5243373592751
256,256,-558.5243373592751,-558.5243373592751
257,257,-558.5243373592751,-558.5243373592751
258,258,-558.5243373592751,-558.5243373592751
259,259,-558.5243373592751,-558.5243373592751
260,260,-558.5243373592751,-558.5243373592751
261,261,-558.7320109223547,-558.7320109223547
262,262,-558.7320109223547,-558.7320109223547
263,263,-558.7320109223547,-558.7320109223547
264,264,-558.7320109223547,-558.7320109223547
265,265,-558.7320109223547,-558.7320109223547
266,266,-558.8067022552078,-558.8067022552078
267,267,-559.5599366464364,-559.5599366464364
268,268,-559.7020206497826,-559.7020206497826
269,269,-560.6194426489245,-560.6194426489245
270,270,-560.6194426489245,-560.6194426489245
271,271,-560.6194426489245,-560.6194426489245
272,272,-560.6194426489245,-560.6194426489245
273,273,-560.6194426489245,-560.6194426489245
274,274,-560.6194426489245,-560.6194426489245
275,275,-560.7344573243199,-560.7344573243199
276,276,-560.7812220034989,-560.7812220034989
277,277,-560.7812220034989,-560.7812220034989
278,278,-561.1349517341349,-561.1349517341349
279,279,-561.1712206680289,-561.1712206680289
280,280,-561.1712206680289,-561.1712206680289
281,281,-561.3165849226266,-561.3165849226266
282,282,-561.3165849226266,-561.3165849226266
283,283,-561.3165849226266,-561.3165849226266
284,284,-561.3165849226266,-561.3165849226266
285,285,-561.3165849226266,-561.3165849226266
286,286,-561.3962086262705,-561.3962086262705
287,287,-561.3962086262705,-561.3962086262705
288,288,-561.4048676111394,-561.4048676111394
289,289,-561.4048676111394,-561.4048676111394
290,290,-561.6864780032067,-561.6864780032067
291,291,-561.6864780032067,-561.6864780032067
292,292,-561.6864780032067,-561.6864780032067
293,293,-561.7112567867554,-561.7112567867554
294,294,-561.9445237368728,-561.9445237368728
295,295,-562.5174180328999,-562.5174180328999
296,296,-562.9829880662625,-562.9829880662625
297,297,-562.9829880662625,-562.9829880662625
298,298,-562.9829880662625,-562.9829880662625
299,299,-563.2109380534296,-563.2109380534296
300,300,-563.2109380534296,-563.2109380534296
301,301,-563.2109380534296,-563.2109380534296
302,302,-563.2109380534296,-563.2109380534296
303,303,-563.5613983885997,-563.5613983885997
304,304,-563.5613983885997,-563.5613983885997
305,305,-563.5613983885997,-563.5613983885997
306,306,-563.5613983885997,-563.5613983885997
307,307,-564.3528860513795,-564.3528860513795
308,308,-564.3528860513795,-564.3528860513795
309,309,-564.6903130691918,-564.6903130691918
310,310,-564.6903130691918,-564.6903130691918
311,311,-565.171650202791,-565.171650202791
312,312,-565.171650202791,-565.171650202791
313,313,-565.8362791718728,-565.8362791718728
314,314,-565.8362791718728,-565.8362791718728
315,315,-565.9027619247563,-565.9027619247563
316,316,-565.9027619247563,-565.9027619247563
317,317,-565.9409239109756,-565.9409239109756
318,318,-565.9409239109756,-565.9409239109756
319,319,-566.7268533953666,-566.7268533953666
320,320,-566.7268533953666,-566.7268533953666
321,321,-566.7268533953666,-566.7268533953666
322,322,-566.7268533953666,-566.7268533953666
323,323,-566.7268533953666,-566.7268533953666
324,324,-567.5454701714716,-567.5454701714716
325,325,-567.5454701714716,-567.5454701714716
326,326,-567.5454701714716,-567.5454701714716
327,327,-567.7435506255875,-567.7435506255875
328,328,-569.196623564131,-569.196623564131
329,329,-569.196623564131,-569.196623564131
330,330,-569.196623564131,-569.196623564131
331,331,-569.196623564131,-569.196623564131
332,332,-569.435637933849,-569.435637933849
333,333,-569.435637933849,-569.435637933849
334,334,-569.435637933849,-569.435637933849
335,335,-569.43859332752,-569.43859332752
336,336,-569.4534759534504,-569.4534759534504
337,337,-569.4534759534504,-569.4534759534504
338,338,-569.4534759534504,-569.4534759534504
339,339,-569.4534759534504,-569.4534759534504
340,340,-569.4534759534504,-569.4534759534504
341,341,-569.4534759534504,-569.4534759534504
342,342,-569.5596639436111,-569.5596639436111
343,343,-570.4156470425218,-570.4156470425218
344,344,-570.4156470425218,-570.4156470425218
345,345,-570.4156470425218,-570.4156470425218
346,346,-570.4156470425218,-570.4156470425218
347,347,-570.4156470425218,-570.4156470425218
348,348,-570.4156470425218,-570.4156470425218
349,349,-570.4156470425218,-570.4156470425218
350,350,-570.4156470425218,-570.4156470425218
351,351,-570.4156470425218,-570.4156470425218
352,352,-570.5847529673244,-570.5847529673244
353,353,-570.5847529673244,-570.5847529673244
354,354,-570.5847529673244,-570.5847529673244
355,355,-570.5847529673244,-570.5847529673244
356,356,-570.6206227384209,-570.6206227384209
357,357,-571.0137540781657,-571.0137540781657
358,358,-571.0137540781657,-571.0137540781657
359,359,-571.0306611540644,-571.0306611540644
360,360,-571.0306611540644,-571.0306611540644
361,361,-571.0306611540644,-571.0306611540644
362,362,-571.0306611540644,-571.0306611540644
363,363,-571.0345626154607,-571.0345626154607
364,364,-571.0470442428967,-571.0470442428967
365,365,-572.690162418863,-572.690162418863
366,366,-572.690162418863,-572.690162418863
367,367,-572.690162418863,-572.690162418863
368,368,-572.9574748762554,-572.9574748762554
369,369,-572.9574748762554,-572.9574748762554
370,370,-572.9574748762554,-572.9574748762554
371,371,-572.9574748762554,-572.9574748762554
372,372,-573.1703124748121,-573.1703124748121
373,373,-573.2741425346965,-573.2741425346965
374,374,-573.5088313918442,-573.5088313918442
375,375,-573.5088313918442,-573.5088313918442
376,376,-573.9343650775467,-573.9343650775467
377,377,-574.0320253285349,-574.0320253285349
378,378,-574.0320253285349,-574.0320253285349
379,379,-574.1672821830147,-574.1672821830147
380,380,-574.1672821830147,-574.1672821830147
381,381,-574.1672821830147,-574.1672821830147
382,382,-574.1672821830147,-574.1672821830147
383,383,-574.1672821830147,-574.1672821830147
384,384,-574.271353269226,-574.271353269226
385,385,-574.271353269226,-574.271353269226
386,386,-574.9807076735564,-574.9807076735564
387,387,-574.9807076735564,-574.9807076735564
388,388,-574.9807076735564,-574.9807076735564
389,389,-574.9807076735564,-574.9807076735564
390,390,-574.9807076735564,-574.9807076735564
391,391,-574.9807076735564,-574.9807076735564
392,392,-574.9807076735564,-574.9807076735564
393,393,-574.9807076735564,-574.9807076735564
394,394,-574.9807076735564,-574.9807076735564
395,395,-574.9807076735564,-574.9807076735564
396,396,-575.4301230436035,-575.4301230436035
397,397,-575.5775291352352,-575.5775291352352
398,398,-575.5775291352352,-575.5775291352352
399,399,-575.5775291352352,-575.5775291352352
400,400,-575.6171838877009,-575.6171838877009
401,401,-576.9325527045553,-576.9325527045553
402,402,-576.9325527045553,-576.9325527045553
403,403,-576.9325527045553,-576.9325527045553
404,404,-576.9325527045553,-576.9325527045553
405,405,-576.9325527045553,-576.9325527045553
406,406,-576.9325527045553,-576.9325527045553
407,407,-578.2882905047394,-578.2882905047394
408,408,-578.4252490863524,-578.4252490863524
409,409,-579.0769950441559,-579.0769950441559
410,410,-579.0769950441559,-579.0769950441559
411,411,-579.0769950441559,-579.0769950441559
412,412,-579.7936012514809,-579.7936012514809
413,413,-579.8275145623635,-579.8275145623635
414,414,-579.8275145623635,-579.8275145623635
415,415,-579.8275145623635,-579.8275145623635
416,416,-579.8294408570736,-579.8294408570736
417,417,-579.8294408570736,-579.8294408570736
418,418,-579.8294408570736,-579.8294408570736
419,419,-579.8294408570736,-579.8294408570736
420,420,-579.8294408570736,-579.8294408570736
421,421,-579.8294408570736,-579.8294408570736
422,422,-579.8469967719681,-579.8469967719681
423,423,-581.5213989272165,-581.5213989272165
424,424,-581.5213989272165,-581.5213989272165
425,425,-581.5637719885876,-581.5637719885876
426,426,-581.5637719885876,-581.5637719885876
427,427,-581.5637719885876,-581.5637719885876
428,428,-581.5637719885876,-581.5637719885876
429,429,-581.5637719885876,-581.5637719885876
430,430,-581.5637719885876,-581.5637719885876
431,431,-581.5637719885876,-581.5637719885876
432,432,-581.5637719885876,-581.5637719885876
433,433,-581.5637719885876,-581.5637719885876
434,434,-581.5637719885876,-581.5637719885876
435,435,-581.5637719885876,-581.5637719885876
436,436,-581.5637719885876,-581.5637719885876
437,437,-581.6589151718134,-581.6589151718134
438,438,-581.6980963065446,-581.6980963065446
439,439,-581.6980963065446,-581.6980963065446
440,440,-583.1429139590944,-583.1429139590944
441,441,-583.1480505129564,-583.1480505129564
442,442,-583.7914469088189,-583.7914469088189
443,443,-583.7914469088189,-583.7914469088189
444,444,-583.7914469088189,-583.7914469088189
445,445,-583.8018290711492,-583.8018290711492
446,446,-583.8018290711492,-583.8018290711492
447,447,-583.8018290711492,-583.8018290711492
