,trial,best_scores
0,0,inf
1,1,865011487.873600
2,2,865011487.873600
3,3,865011487.873600
4,4,834691229.945048
5,5,834691229.945048
6,6,834691229.945048
7,7,831723269.427925
8,8,831723269.427925
9,9,831723269.427925
10,10,831723269.427925
11,11,831723269.427925
12,12,831723269.427925
13,13,821816212.518387
14,14,821816212.518387
15,15,821816212.518387
16,16,821816212.518387
17,17,821816212.518387
18,18,821816212.518387
19,19,821816212.518387
20,20,821816212.518387
21,21,821816212.518387
22,22,821816212.518387
23,23,821816212.518387
24,24,657825718.122942
25,25,657825718.122942
26,26,657825718.122942
27,27,657825718.122942
28,28,657825718.122942
29,29,657825718.122942
30,30,657825718.122942
31,31,657825718.122942
32,32,657825718.122942
33,33,657825718.122942
34,34,657825718.122942
35,35,657825718.122942
36,36,657825718.122942
37,37,657825718.122942
38,38,657825718.122942
39,39,657825718.122942
40,40,657825718.122942
41,41,657825718.122942
42,42,657825718.122942
43,43,657825718.122942
44,44,657825718.122942
45,45,657825718.122942
46,46,657825718.122942
47,47,657825718.122942
48,48,657825718.122942
49,49,657825718.122942
50,50,657825718.122942
51,51,657825718.122942
52,52,657825718.122942
53,53,657825718.122942
54,54,657825718.122942
55,55,657825718.122942
56,56,657825718.122942
57,57,657825718.122942
58,58,657825718.122942
59,59,657825718.122942
60,60,657825718.122942
61,61,657825718.122942
62,62,657825718.122942
63,63,657825718.122942
64,64,657825718.122942
65,65,657825718.122942
66,66,657825718.122942
67,67,657825718.122942
68,68,603256645.972000
69,69,603256645.972000
70,70,603256645.972000
71,71,603256645.972000
72,72,603256645.972000
73,73,603256645.972000
74,74,603256645.972000
75,75,552797346.192000
76,76,552797346.192000
77,77,552797346.192000
78,78,552797346.192000
79,79,552797346.192000
80,80,552797346.192000
81,81,552797346.192000
82,82,552797346.192000
83,83,552797346.192000
84,84,552797346.192000
85,85,552797346.192000
86,86,552797346.192000
87,87,552797346.192000
88,88,552797346.192000
89,89,552797346.192000
90,90,552797346.192000
91,91,552797346.192000
92,92,552797346.192000
93,93,552797346.192000
94,94,552797346.192000
95,95,552797346.192000
96,96,552797346.192000
97,97,552797346.192000
98,98,552797346.192000
99,99,552797346.192000
100,100,552797346.192000
101,101,552797346.192000
102,102,552797346.192000
103,103,552797346.192000
104,104,552797346.192000
105,105,552797346.192000
106,106,552797346.192000
107,107,552797346.192000
108,108,552797346.192000
109,109,552797346.192000
110,110,552797346.192000
111,111,552797346.192000
112,112,552797346.192000
113,113,552797346.192000
114,114,552797346.192000
115,115,552797346.192000
116,116,552797346.192000
117,117,552797346.192000
118,118,552797346.192000
119,119,552797346.192000
120,120,552797346.192000
121,121,552797346.192000
122,122,552797346.192000
123,123,552797346.192000
124,124,552797346.192000
125,125,552797346.192000
126,126,552797346.192000
127,127,552797346.192000
128,128,552797346.192000
129,129,552797346.192000
130,130,552797346.192000
131,131,552797346.192000
132,132,552797346.192000
133,133,552797346.192000
134,134,552797346.192000
135,135,552797346.192000
136,136,552797346.192000
137,137,552797346.192000
138,138,552797346.192000
139,139,552797346.192000
140,140,552797346.192000
141,141,552797346.192000
142,142,552797346.192000
143,143,552797346.192000
144,144,552797346.192000
145,145,552797346.192000
146,146,552797346.192000
147,147,552797346.192000
148,148,552797346.192000
149,149,552797346.192000
150,150,552797346.192000
151,151,552797346.192000
152,152,552797346.192000
153,153,552797346.192000
154,154,552797346.192000
155,155,552797346.192000
156,156,552797346.192000
157,157,552797346.192000
158,158,552797346.192000
159,159,552797346.192000
160,160,552797346.192000
161,161,552797346.192000
162,162,552797346.192000
163,163,552797346.192000
164,164,552797346.192000
165,165,552797346.192000
166,166,552797346.192000
167,167,552797346.192000
168,168,552797346.192000
169,169,552797346.192000
170,170,552797346.192000
171,171,552797346.192000
172,172,552797346.192000
173,173,552797346.192000
174,174,552797346.192000
175,175,552797346.192000
176,176,552797346.192000
177,177,552797346.192000
178,178,552797346.192000
179,179,552797346.192000
180,180,552797346.192000
181,181,552797346.192000
182,182,552797346.192000
183,183,552797346.192000
184,184,552797346.192000
185,185,552797346.192000
186,186,552797346.192000
187,187,552797346.192000
188,188,552797346.192000
189,189,552797346.192000
190,190,552797346.192000
191,191,552797346.192000
192,192,552797346.192000
193,193,552797346.192000
194,194,552797346.192000
195,195,552797346.192000
196,196,552797346.192000
197,197,552797346.192000
198,198,552797346.192000
199,199,552797346.192000
200,200,552797346.192000
201,201,552797346.192000
202,202,552797346.192000
203,203,552797346.192000
