,trial,best_scores
154,154,444182905.037588
155,155,444182905.037588
156,156,444182905.037588
157,157,444182905.037588
158,158,444182905.037588
159,159,444182905.037588
160,160,444182905.037588
161,161,444182905.037588
162,162,444182905.037588
163,163,444182905.037588
164,164,444182905.037588
165,165,444182905.037588
166,166,444182905.037588
167,167,444182905.037588
168,168,444182905.037588
169,169,444182905.037588
170,170,444182905.037588
171,171,444182905.037588
172,172,444182905.037588
173,173,444182905.037588
174,174,444182905.037588
175,175,444182905.037588
176,176,444182905.037588
177,177,444182905.037588
178,178,444182905.037588
179,179,444182905.037588
180,180,444182905.037588
181,181,444182905.037588
182,182,444182905.037588
183,183,444182905.037588
184,184,444182905.037588
185,185,444182905.037588
186,186,444182905.037588
187,187,444182905.037588
188,188,444182905.037588
189,189,444182905.037588
190,190,444182905.037588
191,191,444182905.037588
192,192,444182905.037588
193,193,444182905.037588
194,194,444182905.037588
195,195,444182905.037588
196,196,444182905.037588
197,197,444182905.037588
198,198,444182905.037588
199,199,444182905.037588
200,200,444182905.037588
201,201,444182905.037588
202,202,444182905.037588
203,203,444182905.037588
204,204,444182905.037588
205,205,444182905.037588
206,206,444182905.037588
207,207,444182905.037588
208,208,444182905.037588
209,209,444182905.037588
210,210,444182905.037588
211,211,444182905.037588
212,212,444182905.037588
213,213,444182905.037588
214,214,444182905.037588
215,215,444182905.037588
216,216,444182905.037588
217,217,444182905.037588
218,218,444182905.037588
219,219,444182905.037588
220,220,444182905.037588
221,221,444182905.037588
222,222,444182905.037588
223,223,444182905.037588
224,224,444182905.037588
225,225,444182905.037588
226,226,444182905.037588
227,227,444182905.037588
228,228,444182905.037588
229,229,444182905.037588
230,230,444182905.037588
231,231,444182905.037588
232,232,444182905.037588
233,233,444182905.037588
234,234,444182905.037588
235,235,444182905.037588
236,236,444182905.037588
237,237,444182905.037588
238,238,444182905.037588
239,239,444182905.037588
240,240,444182905.037588
241,241,444182905.037588
242,242,444182905.037588
243,243,444182905.037588
244,244,444182905.037588
245,245,444182905.037588
246,246,444182905.037588
247,247,444182905.037588
248,248,444182905.037588
249,249,444182905.037588
250,250,444182905.037588
251,251,444182905.037588
252,252,444182905.037588
253,253,444182905.037588
254,254,444182905.037588
255,255,444182905.037588
256,256,444182905.037588
257,257,444182905.037588
258,258,444182905.037588
259,259,444182905.037588
260,260,444182905.037588
261,261,444182905.037588
262,262,444182905.037588
263,263,444182905.037588
264,264,444182905.037588
265,265,444182905.037588
266,266,444182905.037588
267,267,444182905.037588
268,268,444182905.037588
269,269,444182905.037588
270,270,444182905.037588
271,271,444182905.037588
272,272,444182905.037588
273,273,444182905.037588
274,274,444182905.037588
275,275,444182905.037588
276,276,444182905.037588
277,277,444182905.037588
278,278,444182905.037588
279,279,444182905.037588
280,280,444182905.037588
281,281,444182905.037588
282,282,444182905.037588
283,283,444182905.037588
284,284,444182905.037588
285,285,444182905.037588
286,286,444182905.037588
287,287,444182905.037588
288,288,444182905.037588
289,289,444182905.037588
290,290,444182905.037588
291,291,444182905.037588
292,292,444182905.037588
293,293,444182905.037588
294,294,444182905.037588
295,295,444182905.037588
296,296,444182905.037588
297,297,444182905.037588
298,298,444182905.037588
299,299,444182905.037588
300,300,444182905.037588
301,301,444182905.037588
302,302,444182905.037588
303,303,444182905.037588
304,304,444182905.037588
305,305,444182905.037588
306,306,444182905.037588
307,307,444182905.037588
308,308,444182905.037588
309,309,444182905.037588
310,310,444182905.037588
311,311,444182905.037588
312,312,444182905.037588
313,313,444182905.037588
314,314,444182905.037588
315,315,444182905.037588
316,316,444182905.037588
317,317,444182905.037588
318,318,444182905.037588
319,319,444182905.037588
320,320,444182905.037588
321,321,444182905.037588
322,322,444182905.037588
323,323,444182905.037588
324,324,444182905.037588
325,325,444182905.037588
326,326,444182905.037588
327,327,444182905.037588
328,328,444182905.037588
329,329,444182905.037588
330,330,444182905.037588
331,331,444182905.037588
332,332,444182905.037588
333,333,444182905.037588
334,334,444182905.037588
335,335,444182905.037588
336,336,444182905.037588
337,337,444182905.037588
338,338,444182905.037588
339,339,444182905.037588
340,340,444182905.037588
341,341,444182905.037588
342,342,444182905.037588
343,343,444182905.037588
344,344,444182905.037588
345,345,444182905.037588
346,346,444182905.037588
347,347,444182905.037588
348,348,444182905.037588
349,349,444182905.037588
350,350,444182905.037588
351,351,444182905.037588
352,352,444182905.037588
353,353,444182905.037588
354,354,444182905.037588
355,355,444182905.037588
356,356,444182905.037588
357,357,444182905.037588
358,358,444182905.037588
359,359,444182905.037588
360,360,444182905.037588
361,361,444182905.037588
362,362,444182905.037588
363,363,444182905.037588
364,364,444182905.037588
365,365,444182905.037588
366,366,444182905.037588
367,367,444182905.037588
368,368,444182905.037588
369,369,444182905.037588
370,370,444182905.037588
371,371,444182905.037588
372,372,444182905.037588
373,373,444182905.037588
374,374,444182905.037588
375,375,444182905.037588
376,376,444182905.037588
377,377,444182905.037588
378,378,444182905.037588
379,379,444182905.037588
380,380,444182905.037588
381,381,444182905.037588
382,382,444182905.037588
383,383,444182905.037588
384,384,444182905.037588
385,385,444182905.037588
386,386,444182905.037588
387,387,444182905.037588
388,388,444182905.037588
389,389,444182905.037588
390,390,444182905.037588
391,391,444182905.037588
392,392,444182905.037588
393,393,444182905.037588
394,394,444182905.037588
395,395,444182905.037588
396,396,444182905.037588
397,397,444182905.037588
398,398,444182905.037588
399,399,444182905.037588
400,400,444182905.037588
401,401,444182905.037588
402,402,444182905.037588
403,403,444182905.037588
404,404,444182905.037588
405,405,444182905.037588
406,406,444182905.037588
407,407,444182905.037588
408,408,444182905.037588
409,409,444182905.037588
410,410,444182905.037588
411,411,444182905.037588
412,412,444182905.037588
413,413,444182905.037588
414,414,444182905.037588
415,415,444182905.037588
416,416,444182905.037588
417,417,444182905.037588
418,418,444182905.037588
419,419,444182905.037588
420,420,444182905.037588
421,421,444182905.037588
422,422,444182905.037588
423,423,444182905.037588
424,424,444182905.037588
425,425,444182905.037588
426,426,444182905.037588
427,427,444182905.037588
428,428,444182905.037588
429,429,444182905.037588
430,430,444182905.037588
431,431,444182905.037588
432,432,444182905.037588
433,433,444182905.037588
434,434,444182905.037588
435,435,444182905.037588
436,436,444182905.037588
437,437,444182905.037588
438,438,444182905.037588
439,439,444182905.037588
440,440,444182905.037588
441,441,444182905.037588
442,442,444182905.037588
443,443,444182905.037588
444,444,444182905.037588
445,445,444182905.037588
446,446,444182905.037588
447,447,444182905.037588
448,448,444182905.037588
449,449,444182905.037588
450,450,444182905.037588
451,451,444182905.037588
452,452,444182905.037588
453,453,444182905.037588
454,454,444182905.037588
455,455,444182905.037588
456,456,444182905.037588
457,457,444182905.037588
458,458,444182905.037588
459,459,444182905.037588
460,460,444182905.037588
461,461,444182905.037588
462,462,444182905.037588
463,463,444182905.037588
464,464,444182905.037588
465,465,444182905.037588
466,466,444182905.037588
467,467,444182905.037588
468,468,444182905.037588
469,469,444182905.037588
470,470,444182905.037588
471,471,444182905.037588
472,472,444182905.037588
473,473,444182905.037588
474,474,444182905.037588
475,475,444182905.037588
476,476,444182905.037588
477,477,444182905.037588
478,478,444182905.037588
479,479,444182905.037588
480,480,444182905.037588
481,481,444182905.037588
482,482,444182905.037588
483,483,444182905.037588
484,484,444182905.037588
485,485,444182905.037588
486,486,444182905.037588
487,487,444182905.037588
488,488,444182905.037588
489,489,444182905.037588
490,490,444182905.037588
491,491,444182905.037588
492,492,444182905.037588
493,493,444182905.037588
