,trial,best_scores
0,0,inf
1,1,2482.2348304473567
2,2,2482.2348304473567
3,3,2480.500026950794
4,4,2480.500026950794
5,5,2480.500026950794
6,6,2480.500026950794
7,7,2480.500026950794
8,8,2480.500026950794
9,9,2480.500026950794
10,10,2480.500026950794
11,11,2480.500026950794
12,12,2480.500026950794
13,13,1447.1499334689352
14,14,1447.1499334689352
15,15,1447.1499334689352
16,16,1447.1499334689352
17,17,1447.1499334689352
18,18,1447.1499334689352
19,19,1447.1499334689352
20,20,1447.1499334689352
21,21,1447.1499334689352
22,22,1447.1499334689352
23,23,1447.1499334689352
24,24,1447.1499334689352
25,25,1447.1499334689352
26,26,1206.2787666666666
27,27,1206.2787666666666
28,28,1206.2787666666666
29,29,1206.2787666666666
30,30,1206.2787666666666
31,31,1206.2787666666666
32,32,1206.2787666666666
33,33,1206.2787666666666
34,34,1206.2787666666666
35,35,1206.2787666666666
36,36,1206.2787666666666
37,37,1206.2787666666666
38,38,1206.2787666666666
39,39,1206.2787666666666
40,40,1206.2787666666666
41,41,1206.2787666666666
42,42,1206.2787666666666
43,43,1206.2787666666666
44,44,1206.2787666666666
45,45,1206.2787666666666
46,46,1206.2787666666666
47,47,1206.2787666666666
48,48,1206.2787666666666
49,49,1206.2787666666666
50,50,1206.2787666666666
51,51,1206.2787666666666
52,52,1206.2787666666666
53,53,1206.2787666666666
54,54,1206.2787666666666
55,55,1206.2787666666666
56,56,1206.2787666666666
57,57,1206.2787666666666
58,58,1206.2787666666666
59,59,1206.2787666666666
60,60,1206.2787666666666
61,61,1206.2787666666666
62,62,1206.2787666666666
63,63,1206.2787666666666
64,64,682.6586341767538
65,65,682.6586341767538
66,66,682.6586341767538
67,67,682.6586341767538
68,68,682.6586341767538
69,69,682.6586341767538
70,70,682.6586341767538
71,71,682.6586341767538
72,72,682.6586341767538
73,73,682.6586341767538
74,74,682.6586341767538
75,75,682.6586341767538
76,76,682.6586341767538
77,77,682.6586341767538
78,78,682.6586341767538
79,79,682.6586341767538
80,80,682.6586341767538
81,81,682.6586341767538
82,82,682.6586341767538
83,83,682.6586341767538
84,84,682.6586341767538
85,85,682.6586341767538
86,86,682.6586341767538
87,87,682.6586341767538
88,88,682.6586341767538
89,89,682.6586341767538
90,90,682.6586341767538
91,91,682.6586341767538
92,92,682.6586341767538
93,93,682.6586341767538
94,94,682.6586341767538
95,95,682.6586341767538
96,96,682.6586341767538
97,97,682.6586341767538
98,98,682.6586341767538
99,99,682.6586341767538
100,100,682.6586341767538
