,trial,best_distance,learning_curve
0,0,inf,inf
1,1,493.17600792334866,493.17600792334866
2,2,493.17600792334866,512.4038454551041
3,3,493.17600792334866,508.72622141281164
4,4,482.0953721690238,482.0953721690238
5,5,482.0953721690238,511.1956381309374
6,6,482.0953721690238,506.16386097185307
7,7,482.0953721690238,489.9932222463535
8,8,482.0953721690238,508.7089063523068
9,9,482.0953721690238,505.4698120234773
10,10,482.0953721690238,486.0120214633893
11,11,482.0953721690238,494.69329254132805
12,12,482.0953721690238,485.052253618344
13,13,482.0953721690238,495.87238791241793
14,14,482.0953721690238,504.96669278161755
15,15,482.0953721690238,487.21532493469823
16,16,482.0953721690238,488.6313261311321
17,17,482.0953721690238,501.8030462832021
18,18,482.0953721690238,498.18685395146815
19,19,482.0953721690238,502.8783038983614
20,20,482.0953721690238,497.9407654420992
21,21,482.0953721690238,501.62903562069846
22,22,482.0953721690238,501.5683938611729
23,23,482.0953721690238,492.41205563850366
24,24,482.0953721690238,488.2815793625504
25,25,482.0953721690238,492.505517869144
26,26,482.0953721690238,504.00019309017756
27,27,482.0953721690238,499.6852093782744
28,28,482.0953721690238,502.1844223006362
29,29,482.0953721690238,493.7942331174944
30,30,482.0953721690238,496.4942503515954
31,31,482.0953721690238,511.27693816466507
32,32,482.0953721690238,488.3703922199295
33,33,482.0953721690238,493.68112016068307
34,34,482.0953721690238,499.802135276762
35,35,482.0953721690238,510.8402666156461
36,36,482.0953721690238,497.1076162195921
37,37,482.0953721690238,501.44153296859463
38,38,482.0953721690238,491.83056238556355
39,39,482.0953721690238,485.5347052067614
40,40,482.0953721690238,499.2171867908721
41,41,482.0953721690238,518.9230563564905
42,42,482.0953721690238,508.5212020336995
43,43,482.0953721690238,494.513754360408
44,44,482.0953721690238,488.8506319633877
45,45,482.0953721690238,496.0327240567042
46,46,482.0953721690238,516.4422637708896
47,47,482.0953721690238,494.63917003868136
48,48,482.0953721690238,511.6480305639137
49,49,482.0953721690238,497.42773542891285
50,50,482.0953721690238,488.25303926275
51,51,482.0953721690238,482.2734099785605
52,52,482.0953721690238,485.01892621959405
53,53,482.0953721690238,486.24586211726665
54,54,482.0953721690238,484.5973578013706
55,55,482.0953721690238,486.77673490865726
56,56,482.0953721690238,488.598232167721
57,57,482.0953721690238,486.48965784201005
58,58,482.0953721690238,488.12364590733273
59,59,482.0953721690238,489.1307745926
60,60,482.0953721690238,488.814132960742
61,61,482.0953721690238,488.26375334711355
62,62,481.73469674258183,481.73469674258183
63,63,481.73469674258183,488.24721674219757
64,64,481.73469674258183,486.4046204445017
65,65,481.73469674258183,489.0762122383561
66,66,481.73469674258183,486.7558619256254
67,67,481.73469674258183,488.4983041944457
68,68,481.73469674258183,485.5682658171272
69,69,481.73469674258183,489.82078245825085
70,70,481.73469674258183,485.5651354058956
71,71,481.73469674258183,490.298653505364
72,72,481.73469674258183,487.83222416011324
73,73,481.73469674258183,488.3404676141764
74,74,481.298096094754,481.298096094754
75,75,481.298096094754,487.8309842076965
76,76,481.298096094754,489.0166345605264
77,77,481.298096094754,488.69982904977235
78,78,481.298096094754,485.9234326016872
79,79,481.298096094754,484.8491520579996
80,80,481.298096094754,488.9641140114072
81,81,481.298096094754,488.39786742191404
82,82,481.298096094754,488.5471308618038
83,83,481.298096094754,487.14755257479527
84,84,480.45174654833875,480.45174654833875
85,85,480.45174654833875,487.2986386209444
86,86,480.45174654833875,490.10245624690845
87,87,480.45174654833875,485.5419360507672
88,88,480.45174654833875,488.47301747388923
89,89,480.45174654833875,485.45203824130067
90,90,480.45174654833875,489.2294728580912
91,91,480.45174654833875,495.5845297471311
92,92,480.45174654833875,488.9456852229618
93,93,480.45174654833875,495.08744560712904
94,94,480.45174654833875,503.6414267348859
95,95,480.45174654833875,497.4189960292209
96,96,480.45174654833875,495.20726088023554
97,97,480.45174654833875,499.42176263198127
98,98,479.7224218023932,479.7224218023932
99,99,479.7224218023932,503.4723840974904
100,100,479.7224218023932,486.2709074524581
101,101,479.0721355527106,479.0721355527106
102,102,479.0721355527106,480.48253202995693
103,103,479.0721355527106,480.947038709052
104,104,479.0721355527106,482.2357832705279
105,105,479.0721355527106,481.27286549726466
106,106,479.0721355527106,484.15776372962705
107,107,479.0721355527106,484.6907780338055
108,108,479.0721355527106,485.27532949686616
109,109,479.0721355527106,485.2291399866674
110,110,479.0721355527106,485.12866249257286
111,111,478.3553749698126,478.3553749698126
112,112,478.3553749698126,482.1424153580125
113,113,478.3553749698126,485.49304930009583
114,114,478.3553749698126,482.74456014512543
115,115,478.3553749698126,484.7694896245946
116,116,478.3553749698126,484.8668087021524
117,117,478.3553749698126,480.2958942594022
118,118,478.3553749698126,479.05229806686987
119,119,478.3553749698126,483.47687479082003
120,120,478.3553749698126,485.29369631526777
121,121,478.3553749698126,484.5278126698341
122,122,478.3553749698126,484.48067417628
123,123,478.3553749698126,482.112952697144
124,124,478.3553749698126,481.3832963357462
125,125,478.3553749698126,483.4945543136568
126,126,478.3553749698126,479.86833742324325
127,127,478.3553749698126,481.62845566706767
128,128,478.3553749698126,482.5922624370105
129,129,478.3553749698126,487.2472398446031
130,130,478.3553749698126,484.83169309289093
131,131,478.3553749698126,484.6165398477037
132,132,478.3553749698126,484.9676380341924
133,133,478.3553749698126,485.61966022898685
134,134,478.3553749698126,481.6304863913816
135,135,478.3553749698126,482.05298564714553
136,136,478.3553749698126,480.5195235160211
137,137,478.3553749698126,479.9490588284806
138,138,478.3553749698126,486.50950542928507
139,139,478.3553749698126,486.57642886072745
140,140,478.3553749698126,482.28299469454845
141,141,478.3553749698126,490.73860500662096
142,142,478.3553749698126,481.93030774653835
143,143,478.3553749698126,496.01622145023515
144,144,478.3553749698126,479.56705438895926
145,145,478.3553749698126,481.298096094754
146,146,478.3553749698126,492.10293305794397
147,147,478.3553749698126,495.0389966806837
148,148,478.3553749698126,482.75207092857727
149,149,478.3553749698126,499.9607379387979
150,150,478.3553749698126,485.0303125084491
151,151,478.3553749698126,481.3374893925537
152,152,478.3553749698126,479.14952498435457
153,153,478.23498784474384,478.23498784474384
154,154,477.97817586486303,477.97817586486303
155,155,477.97817586486303,479.6438905632162
156,156,477.97817586486303,479.7333632945588
157,157,477.97817586486303,480.67559416011886
158,158,477.97817586486303,480.0560977565349
159,159,477.97817586486303,480.6164673038496
160,160,477.97817586486303,479.9948701482591
161,161,477.97817586486303,481.42881386349654
162,162,477.97817586486303,478.3471288466611
163,163,477.97817586486303,479.7258865783
164,164,477.97817586486303,478.6554962921557
165,165,477.97817586486303,480.4769605448058
166,166,477.97817586486303,482.8599452472089
167,167,477.97817586486303,481.355201895909
168,168,477.97817586486303,479.893867777571
169,169,477.97817586486303,479.054189733915
170,170,477.97817586486303,480.47382167276885
171,171,477.97817586486303,478.76717291433795
172,172,477.97817586486303,478.46488651481855
173,173,477.97817586486303,480.93570176149774
174,174,477.97817586486303,478.56637669962777
175,175,477.97817586486303,479.9861841127986
176,176,477.97817586486303,479.4516189074641
177,177,477.97817586486303,478.6176325176588
178,178,477.97817586486303,480.4771791773235
179,179,477.97817586486303,480.34506152353435
180,180,477.97817586486303,482.1367817479929
181,181,477.97817586486303,480.4623526579458
182,182,477.97817586486303,480.7808065602104
183,183,477.97817586486303,480.7267651031126
184,184,477.97817586486303,478.92619959408887
185,185,477.97817586486303,479.06265544865556
186,186,477.97817586486303,480.038530331816
187,187,477.75058150415384,477.75058150415384
188,188,477.75058150415384,478.25017652297316
189,189,477.75058150415384,478.5444366929993
190,190,477.75058150415384,480.13938423332297
191,191,477.75058150415384,497.07459386980184
192,192,477.75058150415384,480.07422956111884
193,193,477.75058150415384,478.70868314754273
194,194,477.75058150415384,481.847469875665
195,195,477.75058150415384,480.48742701000765
196,196,477.75058150415384,481.31459126527614
